Rabbit - high ATP,,,,
time (s),A band width (micron),,time (s),Sarcomere length (micron)
0.008071667,1.194596309,,0.018072894,2.259825
0.0336,1.196435072,,0.046954585,2.255696429
0.0625,1.196948485,,0.075797371,2.255077143
0.0914,1.196449303,,0.099937156,2.245168571
0.1203,1.195566977,,0.124136443,2.229892857
0.140770833,1.197218054,,0.153084503,2.219777857
0.151608333,1.199090259,,0.181982214,2.214204286
0.164131667,1.200997659,,0.21088908,2.207805
0.179820238,1.203325798,,0.239841717,2.197277143
0.194958333,1.205812794,,0.268833259,2.18324
0.219041667,1.207881771,,0.297801916,2.171267143
0.245533333,1.209523269,,0.326731668,2.162803571
0.274433333,1.209160924,,0.355665996,2.153927143
0.303333333,1.209510133,,0.384492762,2.154752857
0.332233333,1.210680364,,0.408893443,2.164661429
0.361133333,1.211522186,,0.42024587,2.1810725
0.391753571,1.21019768,,0.42967247,2.197793214
0.412511111,1.207980111,,0.439095637,2.214823571
0.42375,1.205405019,,0.448513082,2.23237
0.430975,1.203706597,,0.453154292,2.247232857
0.442535,1.201624045,,0.457781771,2.263334286
0.45265,1.199268148,,0.462409249,2.279435714
0.462283333,1.196638686,,0.467036728,2.295537143
0.473522222,1.193735184,,0.471655052,2.312464286
0.493591667,1.19110335,,0.476255068,2.331042857
0.520083333,1.189236345,,0.490476212,2.348795714
0.548983333,1.188874,,0.501116895,2.364381071
0.573066667,1.187595941,,0.514126243,2.383062857
0.592333333,1.185621108,,0.535663929,2.391113571
0.606301667,1.183655689,,0.564497561,2.39132
0.616898333,1.181617144,,0.593326615,2.391939286
0.621233333,1.179374767,,0.614843704,2.401847857
0.631348333,1.176983292,,0.624284035,2.41733
0.65495,1.174974633,,0.640988272,2.427857857
0.68385,1.174311246,,0.6627777,2.413201429
0.71275,1.175372008,,0.68454882,2.400196429
0.739241667,1.17475843,,0.71340076,2.398751429
0.765733333,1.173444246,,0.742200063,2.402054286
0.792225,1.17481207,,0.766242584,2.400918929
0.806675,1.177074809,,0.773626639,2.385127143
0.819198333,1.179206622,,0.783449161,2.366135714
0.833166667,1.181283371,,0.78844281,2.349208571
0.849336905,1.183797499,,0.805430828,2.334139286
0.862548333,1.185994838,,0.834227843,2.337648571
0.878236905,1.188341743,,0.863045455,2.3393
0.891448333,1.190815883,,0.884731897,2.333932857
0.909029167,1.193205169,,0.899319211,2.318657143
0.939133333,1.194395652,,0.912942582,2.303629143
0.968033333,1.194498553,,0.940465323,2.292027857
0.996933333,1.19347939,,0.969390497,2.283977143
1.021016667,1.191352941,,0.998292786,2.277990714
1.0451,1.189308595,,1.027272886,2.264985714
1.071591667,1.190183805,,1.056209503,2.255902857
1.086041667,1.192309706,,1.085111791,2.249916429
1.098565,1.194381311,,1.114107911,2.235466429
1.114138889,1.196517904,,1.143065125,2.224525714
1.139025,1.198805638,,1.171944528,2.220603571
1.165516667,1.200529239,,1.200748408,2.223493571
1.194416667,1.20074161,,1.224922521,2.210488571
1.220908333,1.201906915,,1.249117232,2.195625714
1.244991667,1.203806214,,1.278088177,2.183446429
1.269075,1.205968241,,1.306898923,2.185717143
1.295566667,1.207998356,,1.33570738,2.188194286
1.322058333,1.209700063,,1.364563898,2.186336429
1.34855,1.21154408,,1.393473052,2.179730714
1.372633333,1.213728,,1.414891733,2.198515714
1.386739286,1.215835995,,1.431511292,2.216681429
1.415983333,1.215524398,,1.445242683,2.23526
1.439585,1.21430392,,1.457525412,2.254457857
1.450181667,1.212101171,,1.466969176,2.269630357
1.46415,1.209848394,,1.476385477,2.28728
1.4786,1.207327307,,1.493014191,2.30462
1.494770238,1.205091232,,1.512056197,2.321031071
1.509908333,1.202941403,,1.530597007,2.3393
1.52195,1.20088611,,1.542877447,2.358704286
1.543625,1.198746525,,1.559524469,2.374392857
1.560001667,1.196805189,,1.588342081,2.376044286
1.570598333,1.194471076,,1.617255812,2.369025714
1.584566667,1.192278508,,1.646169544,2.362007143
1.603833333,1.189783693,,1.675023773,2.360355714
1.632733333,1.18898347,,1.696788027,2.34797
1.655371667,1.190806469,,1.718595763,2.331662143
1.669661111,1.192943354,,1.747502629,2.325262857
1.690533333,1.194717492,,1.776393475,2.320308571
1.719433333,1.195094068,,1.805307206,2.31329
1.745925,1.193347479,,1.834291883,2.299872143
1.7676,1.19142957,,1.863194172,2.293885714
1.786866667,1.189249481,,1.889752512,2.282573429
1.81095,1.187273553,,1.916368982,2.266017857
1.83985,1.185898614,,1.945285002,2.258792857
1.86875,1.184769981,,1.974175847,2.253838571
1.89765,1.183531879,,2.00308729,2.247026429
1.92655,1.183361106,,2.03211545,2.229686429
1.953041667,1.185024498,,2.06099943,2.225351429
1.971620238,1.187459886,,2.089892564,2.220190714
1.984831667,1.189713523,,2.118888684,2.205740714
2.000520238,1.191957214,,2.147845898,2.1948
2.0277,1.193929311,,2.176752764,2.188400714
2.0566,1.193512231,,2.205590972,2.188194286
2.0855,1.193149886,,2.234426893,2.188194286
2.111991667,1.194840646,,2.263262813,2.188194286
2.133666667,1.196806174,,2.287368269,2.181382143
2.149561667,1.198773016,,2.31160875,2.162390714
2.164975,1.200904172,,2.340485865,2.158675
2.177016667,1.202912941,,2.366827707,2.166890857
2.18665,1.204840155,,2.393077091,2.183446429
2.2011,1.206670489,,2.421860374,2.188194286
2.23,1.207977557,,2.446304995,2.194139429
2.2589,1.20827203,,2.459564026,2.211974857
2.2878,1.207827583,,2.467064111,2.229067143
2.3167,1.206507379,,2.476432353,2.251051786
2.3456,1.206446076,,2.485773131,2.275513571
2.369683333,1.208041597,,2.495083014,2.302762143
2.38895,1.210171877,,2.504432718,2.326418857
2.413033333,1.211329519,,2.513764571,2.351685714
2.443653571,1.210810398,,2.523180872,2.369335357
2.46661875,1.208635333,,2.53261777,2.385127143
2.482875,1.206332775,,2.54204437,2.401847857
2.496361667,1.204375675,,2.551467536,2.418878214
2.509848333,1.202369315,,2.572919401,2.43467
2.523816667,1.200220534,,2.60167751,2.441688571
2.537785,1.197765238,,2.630607262,2.433225
2.548381667,1.195496807,,2.654803116,2.418258929
2.564070238,1.19304894,,2.678955488,2.407215
2.579208333,1.190574612,,2.707802851,2.406182857
2.593658333,1.188327199,,2.736677677,2.402673571
2.608796429,1.185977979,,2.760788854,2.395345357
2.624485,1.183853829,,2.777778017,2.380172857
2.64905,1.182567451,,2.799521674,2.369645
2.67795,1.182095636,,2.828382768,2.367374286
2.70685,1.180255451,,2.852548872,2.355091786
2.73575,1.178743674,,2.876747015,2.339919286
2.76465,1.177943451,,2.905708806,2.328565714
2.79355,1.179442091,,2.934638557,2.320102143
2.82245,1.180776527,,2.963545423,2.313702857
2.848941667,1.182587703,,2.992445423,2.307922857
2.875433333,1.184678027,,3.02138204,2.29884
2.901925,1.183396684,,3.045550432,2.286351071
2.923118333,1.181651299,,3.064956319,2.26994
2.933715,1.179382868,,3.089107547,2.258999286
2.9525,1.176767746,,3.117945755,2.258792857
2.972970833,1.178183463,,3.146930432,2.245375
2.983808333,1.179946199,,3.175855607,2.237324286
2.996331667,1.181831705,,3.204776204,2.229686429
3.009818333,1.184028981,,3.233765458,2.215855714
3.019933333,1.186259864,,3.262660881,2.210488571
3.029566667,1.188228129,,3.291533418,2.207185714
3.041608333,1.190414786,,3.320435706,2.201199286
3.0681,1.19216028,,3.349376901,2.191703571
3.097,1.194124167,,3.378251726,2.188194286
3.123491667,1.196187123,,3.4022336,2.192529286
3.147575,1.198381991,,3.418860025,2.210075714
3.174066667,1.200401159,,3.440280995,2.228654286
3.202966667,1.202474515,,3.466594001,2.239471143
3.229458333,1.204209063,,3.485649509,2.254664286
3.253541667,1.206174044,,3.499866075,2.27283
3.277625,1.208500275,,3.51410095,2.289344286
3.301708333,1.210662301,,3.530247235,2.306849429
3.3282,1.212544633,,3.537760136,2.322785714
3.3571,1.213769598,,3.551976703,2.340951429
3.386,1.213598826,,3.571007494,2.358374
3.409601667,1.214184598,,3.585348559,2.36531
3.420198333,1.216152644,,,
3.43795119,1.217950168,,,
3.467883333,1.217986371,,,
3.48715,1.21609364,,,
3.496783333,1.213464178,,,
3.506416667,1.210834716,,,
3.515568333,1.208052106,,,
3.526165,1.205488106,,,
3.540133333,1.202945235,,,
3.554583333,1.200533617,,,
3.569033333,1.198122,,,
3.5883,1.196803985,,,
,,,,
Drosophila,,,,
time (s),Axial strain,,,
2.35048E-05,0.000255132,,,
0.000158526,-0.001616345,,,
0.000239119,-0.003406397,,,
0.000418624,-0.004261348,,,
0.000638425,-0.004439463,,,
0.000858226,-0.00468437,,,
0.001078027,-0.004795692,,,
0.001279511,-0.004288065,,,
0.001462679,-0.002578164,,,
0.001670269,-0.001559942,,,
0.001810697,-0.004105498,,,
0.001933681,-0.005616292,,,
0.002030498,-0.003660211,,,
0.002103765,-0.002057179,,,
0.002177032,-0.000454146,,,
0.002275943,0.001028659,,,
0.00230525,0.002596068,,,
0.002425617,0.004288158,,,
0.002506734,0.00722705,,,
0.002525051,0.008741025,,,
0.002645418,0.010547617,,,
0.002873069,0.01143501,,,
0.00303792,0.01277087,,,
0.003125841,0.014814736,,,
0.003184454,0.016578072,,,
0.003304821,0.017875764,,,
0.003514156,0.016391051,,,
0.003718257,0.015814723,,,
0.003829204,0.01764676,,,
0.003995625,0.019001704,,,
0.004228509,0.018426012,,,
0.004448311,0.018492805,,,
0.004668112,0.019049413,,,
0.004832963,0.017246002,,,
0.004942863,0.015865613,,,
0.005107714,0.014351638,,,
0.005315304,0.013505593,,,
0.005437416,0.011613124,,,
0.005536326,0.009604881,,,
0.00569385,0.008607439,,,
0.005913651,0.008941404,,,
0.006071176,0.007734677,,,
0.006151769,0.005490432,,,
0.006284566,0.002501444,,,
0.00620672,0.004154572,,,
0.006426521,0.00024718,,,
0.006573055,-0.001623024,,,
0.006715925,-0.003272811,,,
0.006796519,-0.005036147,,,
0.006902756,-0.006977597,,,
0.007012657,-0.009003652,,,
0.007159191,-0.010907252,,,
0.007351517,-0.012593776,,,
0.007448596,-0.01016585,,,
0.007498051,-0.008302325,,,
0.007543843,-0.006331931,,,
0.007678166,-0.004869906,,,
0.007644585,-0.003226056,,,
0.007847378,-0.006875817,,,
0.007992604,-0.009153936,,,
0.008075029,-0.010272719,,,
0.008166613,-0.007500809,,,
0.008305006,-0.005671423,,,
0.008331464,-0.003927383,,,
0.008441364,-0.008447043,,,
0.008477998,-0.010706873,,,
0.008423047,-0.006131552,,,
0.008514631,-0.012443492,,,
0.008551265,-0.01418011,,,
0.008587898,-0.015983521,,,
0.008642849,-0.017519761,,,
0.008710882,-0.019203899,,,
0.008716116,-0.021427152,,,
0.008826016,-0.016217297,,,
0.008816858,-0.014313696,,,
0.008826016,-0.018555052,,,
0.00886265,-0.011898015,,,
0.008899283,-0.009025916,,,
0.008935917,-0.006109288,,,
0.00897255,-0.003259453,,,
0.0090275,-0.00067679,,,
0.009119084,0.001583041,,,
0.009213285,0.003849232,,,
0.009293094,0.006258551,,,
0.009338885,0.007761394,,,
0.009426806,0.009658316,,,
0.009485419,0.011501803,,,
0.00957334,0.013238421,,,
0.009686904,0.015064097,,,
0.009668587,0.016177313,,,
0.009870071,0.013772765,,,
0.010066322,0.012589575,,,
0.010108189,0.011368217,,,
0.010199773,0.014039937,,,
0.01021809,0.015642969,,,
0.010291357,0.017513174,,,
0.010411724,0.019440629,,,
0.010639375,0.01882677,,,
0.010822543,0.017680156,,,
0.011005711,0.015665234,,,
0.011207195,0.016471203,,,
0.011376625,0.016962131,,,
0.01148561,0.015001756,,,
0.011591847,0.0134388,,,
0.011701747,0.01159086,,,
0.011811648,0.009564805,,,
0.011921548,0.007449693,,,
0.012068083,0.005957983,,,
0.012287884,0.006314212,,,
0.012507685,0.006692706,,,
0.012709169,0.006136098,,,
0.012811743,0.004822502,,,
0.01287402,0.002529275,,,
0.012947287,0.00085945,,,
0.013108475,-0.000534298,,,
0.013321472,-0.001894967,,,
0.013456493,-0.003727004,,,
0.013515107,-0.005374565,,,
0.013603027,-0.00720024,,,
0.013661641,-0.008847801,,,
0.013782008,-0.010578058,,,
0.014009659,-0.009159502,,,
0.01422946,-0.008313457,,,
0.01445842,-0.008168739,,,
0.014595795,-0.009849696,,,
0.014724013,-0.011324709,,,
0.014833913,-0.008936859,,,
0.01490718,-0.006799482,,,
0.014980447,-0.004662106,,,
0.015085769,0.000330672,,,
0.015053714,-0.002558126,,,
0.015126981,-0.001188869,,,
0.015244209,0.001188962,,,
0.015273515,0.003152676,,,
0.015361436,0.004956088,,,
0.015475,0.00640327,,,
0.015542161,0.008785554,,,
0.015617871,0.010513266,,,
0.015694801,0.012303319,,,
0.015771731,0.013933068,,,
0.015896285,0.015696404,,,
0.01609777,0.017401852,,,
0.016299254,0.016123879,,,
0.016500738,0.014485224,,,
0.016720539,0.013527857,,,
0.016903707,0.014941643,,,
0.017086875,0.016889772,,,
0.017306676,0.018403747,,,
0.017526477,0.019383378,,,
0.017727961,0.020078025,,,
0.017892812,0.021954909,,,
0.018094296,0.023541243,,,
0.018149247,0.025261163,,,
0.018211524,0.020745955,,,
0.018249989,0.018448276,,,
0.018204197,0.023123787,,,
0.018286622,0.016477882,,,
0.018336078,0.014280392,,,
0.018369048,0.012169733,,,
0.018442315,0.010121414,,,
0.018662116,0.008963668,,,
0.018881917,0.008718761,,,
0.019089507,0.009052726,,,
0.019207955,0.006933161,,,
0.019266569,0.00522326,,,
0.019391123,0.003646945,,,
0.019706171,0.00129917,,,
0.019944289,0.000865016,,,
0.020090823,-0.000237069,,,
0.020200724,-0.002725109,,,
0.020420525,-0.003125867,,,
0.020622009,-0.004581954,,,
0.020823494,-0.005997966,,,
0.021006661,-0.005029468,,,
0.021189829,-0.004239084,,,
0.02140963,-0.005129657,,,
0.021565322,-0.004561916,,,
0.021601956,-0.002825298,,,
0.021662401,-0.000841546,,,
0.021742995,0.000841638,,,
0.02180344,0.003052487,,,
0.02204025,0.003467558,,,
0.022329131,0.005356846,,,
0.022448452,0.007169799,,,
0.022526952,0.008963668,,,
0.022600219,0.01076708,,,
0.022673486,0.01267068,,,
0.022746753,0.014707867,,,
0.022834674,0.016604789,,,
0.022915268,0.018448276,,,
0.023017841,0.020345197,,,
0.023128789,0.022226852,,,
0.023204672,0.023157183,,,
0.023314573,0.020897353,,,
0.023436685,0.018804505,,,
0.023644275,0.017312795,,,
0.023864076,0.016444486,,,
0.024083877,0.01697883,,,
0.024303678,0.01764676,,,
0.024526096,0.017952099,,,
0.02463338,0.015809952,,,
0.024706647,0.013906351,,,
0.024813931,0.012150649,,,
0.025018032,0.013505593,,,
0.025225621,0.014485224,,,
0.025329416,0.011679917,,,
0.025391693,0.009417861,,,
0.025503426,0.006826292,,,
0.025732385,0.006425534,,,
0.025939103,0.006024776,,,
0.02606575,0.003967551,,,
0.026200771,0.001883609,,,
0.026263571,-0.000721318,,,
0.026336838,-0.002992281,,,
0.026410105,-0.00519645,,,
0.026498026,-0.007547564,,,
0.026574956,-0.009871961,,,
0.026739807,-0.011368124,,,
0.026904658,-0.012810853,,,
0.027051192,-0.014413886,,,
0.027243518,-0.015649556,,,
0.027340597,-0.013104743,,,
0.027390052,-0.011241218,,,
0.027435844,-0.009270824,,,
0.027499952,-0.007500809,,,
0.027564061,-0.005997966,,,
0.027710595,-0.00452852,,,
0.027893763,-0.002747373,,,
0.028113564,-0.002725109,,,
0.028333365,-0.003259453,,,
0.028498216,-0.002691712,,,
0.028586136,-0.000921697,,,
0.02864475,0.000814921,,,
0.028765117,0.002024829,,,
0.028791284,0.005445903,,,
0.028791284,0.003976457,,,
0.028956135,0.006759499,,,
0.029120986,0.00837589,,,
0.02932247,0.009854242,,,
0.029542271,0.011011987,,,
0.029762072,0.010210471,,,
0.029981873,0.01041085,,,
0.030201674,0.011679917,,,
0.030348209,0.013861822,,,
0.030471193,0.015948309,,,
0.03067791,0.01729053,,,
0.030897711,0.018247897,,,
0.031117512,0.018938091,,,
0.031282363,0.018047518,,,
0.031392264,0.016444486,,,
0.031520481,0.014741264,,,
0.031626718,0.013024683,,,
0.031703649,0.010967459,,,
0.031776916,0.009097254,,,
0.031841024,0.007293843,,,
0.031960083,0.005590621,,,
0.032124934,0.004101137,,,
0.032326419,0.002885504,,,
0.032555378,0.003269564,,,
0.032711071,0.002952297,,,
0.032875921,0.000872808,,,
0.033018792,-0.000788111,,,
0.033077406,-0.002435672,,,
0.033197773,-0.004299515,,,
0.033260573,-0.005570491,,,
0.033260573,-0.007066654,,,
0.033363147,-0.002498012,,,
0.033436414,-0.000200333,,,
0.033532708,0.001750023,,,
0.033755126,0.001215679,,,
0.03395661,0.000280577,,,
0.033965769,-0.00175661,,,
0.034002402,-0.003893986,,,
0.034039036,-0.006031363,,,
0.034075669,-0.008168739,,,
0.034112303,-0.010406305,,,
0.034188622,-0.01258821,,,
0.034213045,-0.014458414,,,
0.034341262,-0.012142923,,,
0.034359579,-0.010539891,,,
0.034432846,-0.008469308,,,
0.034506113,-0.006265138,,,
0.03457938,-0.003960779,,,
0.0346673,-0.001883517,,,
0.034790023,1.34048E-05,,,
0.034890765,0.0010153,,,
0.035118416,9.73732E-05,,,
0.035293734,-0.001144341,,,
0.035330367,0.000213784,,,
0.035495218,0.000948507,,,
0.03559596,0.002584936,,,
0.035696702,0.003909664,,,
0.035733336,0.005957983,,,
0.035839573,0.008162152,,,
0.035916503,0.009965563,,,
0.035989771,0.01143501,,,
0.036136305,0.013071438,,,
0.036301155,0.014814736,,,
0.03650264,0.0163109,,,
0.036722441,0.017112416,,,
0.036942242,0.016533543,,,
0.037162043,0.017468645,,,
0.037381844,0.018025253,,,
0.037601645,0.016578072,,,
0.03780313,0.014948322,,,
0.038004614,0.013372007,,,
0.038224415,0.012191997,,,
0.038444216,0.012169733,,,
0.038673176,0.012370112,,,
0.038755601,0.010255,,,
0.038792235,0.008651968,,,
0.038828868,0.007048935,,,
0.038865502,0.005445903,,,
0.039457744,0.000903978,,,
0.039572005,-0.000303385,,,
0.039605499,-0.003005639,,,
0.039744706,-0.005116298,,,
0.039933979,-0.006643632,,,
0.040069175,-0.00832618,,,
0.040169655,-0.009952112,,,
0.040330843,-0.011324709,,,
0.040330843,-0.012677267,,,
0.04045906,-0.009471203,,,
0.040477377,-0.00786817,,,
0.040550644,-0.005997966,,,
0.040678861,-0.003905118,,,
0.040898662,-0.002457937,,,
0.041063513,-0.003036809,,,
0.041144107,-0.005704077,,,
0.041228364,-0.008268929,,,
0.041338264,-0.009805168,,,
0.041521432,-0.008202136,,,
0.041704599,-0.006910804,,,
0.041932251,-0.007219324,,,
0.042045291,-0.00500943,,,
0.042103905,-0.002845336,,,
0.042162518,0.000547749,,,
0.042162518,-0.001322455,,,
0.042254102,0.004889295,,,
0.042287072,0.003326338,,,
0.042394531,0.005802132,,,
0.04249222,0.007360636,,,
0.042602121,0.008963668,,,
0.042730338,0.010566701,,,
0.042876872,0.012136336,,,
0.04306004,0.013772765,,,
0.043279841,0.014529753,,,
0.043444692,0.01595467,,,
0.043572909,0.017613363,,,
0.043765235,0.018782241,,,
0.04373776,0.02031848,,,
0.043898947,0.0163109,,,
0.044009894,0.014230774,,,
0.044232312,0.014552017,,,
0.044452113,0.014863718,,,
0.044671915,0.013572386,,,
0.044891716,0.014039937,,,
0.045056566,0.013238421,,,
0.045166467,0.011858032,,,
0.045294684,0.010232736,,,
0.045477852,0.009408955,,,
0.045679336,0.009141783,,,
0.045774583,0.007280484,,,
0.045909604,0.005872106,,,
0.045963246,0.002635031,,,
0.045954088,0.004020985,,,
0.046137255,0.000636806,,,
0.046206859,-0.001643062,,,
0.046274631,-0.003660211,,,
0.04639369,-0.00529664,,,
0.046558541,-0.006772765,,,
0.046723392,-0.008302325,,,
0.046851609,-0.010005547,,,
0.04701646,-0.01192028,,,
0.047236261,-0.012476888,,,
0.047456062,-0.012699532,,,
0.047675863,-0.012922175,,,
0.047895664,-0.011942544,,,
0.048097149,-0.010780346,,,
0.048261999,-0.00930422,,,
0.048390217,-0.007600998,,,
0.048478137,-0.005891097,,,
0.048555068,-0.004227951,,,
0.048628335,-0.002725109,,,
0.048701602,-0.001222266,,,
0.048774869,0.00039932,,,
0.048985511,0.001309189,,,
0.049067937,0.00301909,,,
0.049177837,0.00455533,,,
0.049260263,0.006809594,,,
0.049423282,0.008643062,,,
0.049525856,0.009364426,,,
0.049709023,0.009925488,,,
0.049800607,0.011702182,,,
0.049855557,0.013372007,,,
0.049928824,0.015075229,,,
0.050002092,0.017045623,,,
0.050090012,0.019196358,,,
0.050111992,0.02031848,,,
0.002442868,0.005689655,,,
0.019818755,0.002816092,,,
0.019503546,0.000517241,,,
0.019424744,0.001954023,,,
0.022261623,0.003678161,,,
0.038888889,0.003678161,,,
0.039007092,0.002528736,,,
0.038967691,0.00137931,,,
0.039125296,0.00454023,,,
0.039243499,0.006551724,,,
0.039322301,0.004827586,,,
0.039401103,0.003103448,,,
